source_tweet,target_user,type
323917763850686464,@KrisSanchez,retweet
323917910642946048,@Karan1095,mention
323917910642946048,@Karan1095,retweet
323918019690639360,@LovendPeace,mention
323918019690639360,@LovendPeace,retweet
323918116163813376,@DemetriaSing,mention
323918116163813376,@DemetriaSing,retweet
323918330094317568,@BostonGlobe,mention
323918330094317568,@BostonGlobe,retweet
323918434960293888,@joshhenderson,mention
323918611121061888,@BMW_LifeMorals,mention
323918611121061888,@BMW_LifeMorals,retweet
323918841799376896,@CNNLive,mention
323918841799376896,@CNN,mention
323918879527161857,@goldnKATEbridge,mention
323918879527161857,@goldnKATEbridge,retweet
323918921465999362,@abyjavaadmalik,mention
323918921465999362,@abyjavaadmalik,retweet
323919605171122177,@aceYthekidd,mention
323919605171122177,@aceYthekidd,retweet
323919680672763906,@GovBrewer,mention
323919680672763906,@GovBrewer,retweet
323920167178493953,@Jenna_Marbles,mention
323920167178493953,@Jenna_Marbles,retweet
323920792150761472,@DanielMartinAdv,mention
323920792150761472,@DanielMartinAdv,retweet
323920980898631680,@shagcaster,mention
323920980898631680,@_bal_,mention
323920980898631680,@shagcaster,retweet
323921178026721280,@corien_xxx,mention
323921178026721280,@larrys_condom_,mention
323922037854855168,@Megan_Miller_23,mention
323922037854855168,@Megan_Miller_23,retweet
323922209817120768,@cnnbrk,mention
323922209817120768,@cnnbrk,retweet
323922411126939648,@eNCAnews,mention
323922411126939648,@eNCAnews,retweet
323924088852717570,@1DUpdatesOnline,mention
323924088852717570,@1DUpdatesOnline,retweet
323925330362507264,@Akon,mention
323925330362507264,@Akon,retweet
323926114701565954,@betseyross,mention
323926114701565954,@betseyross,retweet
323926148272779265,@_Snape_,mention
323926148272779265,@_Snape_,retweet
323926752256737280,@RobKardashian,mention
323926752256737280,@RobKardashian,retweet
323926781600088064,@Google,mention
323926781600088064,@RedCross,mention
323926823568306176,@LifeFacts,mention
323926823568306176,@LifeFacts,retweet
323927138107535360,@AnneFoxyCoxy,mention
323927138107535360,@AnneFoxyCoxy,retweet
323927284937523202,@google,mention
323927284937523202,@google,retweet
323927318483591169,@CardinalDolan,mention
323927318483591169,@CardinalDolan,retweet
323927544976003072,@lala,mention
323927544976003072,@lala,retweet
323927599493545984,@JaiBrooks1,mention
323927599493545984,@JaiBrooks1,retweet
323927616295956480,@Magicllamas_,mention
323927721149353984,@TWDJesus,mention
323927721149353984,@TWDJesus,retweet
323928132170166272,@Prayer_Healing,mention
323928132170166272,@Prayer_Healing,retweet
323928505450643458,@justinbieber,mention
323928950051045377,@EdSheerrann,mention
323928950051045377,@EdSheerrann,retweet
323928992002478080,@iamrashidajones,mention
323928992002478080,@iamrashidajones,retweet
323929935746064384,@michaelhayes,mention
323929935746064384,@michaelhayes,retweet
323929973457039360,@Erinthemustache,mention
323930808161280000,@NBCNews,mention
323930808161280000,@NBCNews,retweet
323931319828627457,@Pau_DS,mention
323931319828627457,@Pau_DS,retweet
323931496001970176,@cocktailouis,mention
323931496001970176,@NicolaPayne2788,mention
323931496001970176,@cocktailouis,retweet
323932682994192384,@TinaBhatnagar,mention
323932682994192384,@twitter,mention
323932682994192384,@TinaBhatnagar,retweet
323932733321641984,@BillSimmons,mention
323932733321641984,@BillSimmons,retweet
323932833989160960,@BobbyDeSanzo,mention
323932833989160960,@BobbyDeSanzo,retweet
323932859142373376,@masg66,mention
323932859142373376,@masg66,retweet
323933043687563264,@NaY_BaY,mention
323933043687563264,@NaY_BaY,retweet
323933345685835776,@1drulesmylife,mention
323933345685835776,@1drulesmylife,retweet
323935170229059584,@BornToRaceMovie,mention
323935170229059584,@BornToRaceMovie,retweet
323935300235689985,@_Snape_,mention
323935300235689985,@_Snape_,retweet
323935384134361088,@SarahJMBP,mention
323935384134361088,@SarahJMBP,retweet
323935539311022080,@NFL_Memes,mention
323935539311022080,@NFL_Memes,retweet
323935556075667457,@BorisYu,mention
323935556075667457,@cnnbrk,mention
323935556075667457,@BorisYu,retweet
323935627416588288,@paramore,mention
323935627416588288,@paramore,retweet
323935711264907265,@BreakingNews,mention
323935711264907265,@AP,mention
323935837098221571,@TimTebow,mention
323935837098221571,@TimTebow,retweet
323935870673625088,@KaitlynGomez_,mention
323935870673625088,@KaitlynGomez_,retweet
323936348832690176,@NBCNews,mention
323936348832690176,@NBCNews,retweet
323937313510023170,@spurs,mention
323937313510023170,@spurs,retweet
323938127209197568,@cnnbrk,mention
323938127209197568,@cnnbrk,retweet
323938471150493696,@JaiBrooks1,mention
323938471150493696,@JaiBrooks1,retweet
323938643087601664,@twhiddleston,mention
323938643087601664,@twhiddleston,retweet
323939796550557696,@RichMcD1234,mention
323940090130866176,@FillWerrell,mention
323940090130866176,@FillWerrell,retweet
323940761211117568,@ChristinaNg27,mention
323940761211117568,@DianeSawyer,mention
323940761211117568,@ChristinaNg27,retweet
323941419742027777,@USArmy,mention
323941419742027777,@MattHood21,mention
323941419742027777,@USArmy,retweet
323941419742027777,@MattHood21,retweet
323941595894403072,@A_Ducktrumpet,mention
323941595894403072,@A_Ducktrumpet,retweet
323942820635373568,@nycjim,mention
323942820635373568,@nycjim,retweet
323943021961949185,@TechCrunch,mention
323943021961949185,@ferenstein,mention
323943021961949185,@TechCrunch,retweet
323945198805733376,@ashleytisdale,mention
323945198805733376,@ashleytisdale,retweet
323945744061038592,@lefty_1998,mention
323945744061038592,@lefty_1998,retweet
323945848901869568,@weyhey_ziall,mention
323945848901869568,@weyhey_ziall,retweet
323947480490311680,@anniejclark,mention
323947480490311680,@anniejclark,retweet
323947614699651072,@sarahTW_TM,mention
323947614699651072,@sarahTW_TM,retweet
323948159963373568,@mealburez,mention
323948159963373568,@mealburez,retweet
323949581861806081,@kylieminogue,mention
323949581861806081,@kylieminogue,retweet
323950160646373376,@prayforbst,mention
323950160646373376,@prayforbst,retweet
323951397974470658,@911BUFF,mention
323951397974470658,@911BUFF,retweet
323953537090465794,@SofiaDecio,mention
323953537090465794,@SofiaDecio,retweet
323953608372649984,@RobertoLuongo_1,mention
323953608372649984,@RobertoLuongo_1,retweet
323953646125608960,@CoachKWisdom,mention
323953646125608960,@CoachKWisdom,retweet
323956003332816898,@JamesWright__,mention
323956003332816898,@JamesWright__,retweet
323956951224569856,@HopeForBoston,mention
323956951224569856,@HopeForBoston,retweet
323959115506388993,@scooterbraun,mention
323959115506388993,@scooterbraun,retweet
323961120366948356,@T_swaggga,mention
323961120366948356,@T_swaggga,retweet
323961636283092995,@KoolSloth,mention
323961636283092995,@KoolSloth,retweet
323961820845060096,@nbcnightlynews,mention
323961820845060096,@nbcnightlynews,retweet
323962168963903488,@Footballtweets3,mention
323962168963903488,@Footballtweets3,retweet
323962265403547648,@Kaylaboos13,mention
323962265403547648,@Kaylaboos13,retweet
323963301430194176,@miilkkk,mention
323966140953022464,@NFL_Stats,mention
323966140953022464,@NFL_Stats,retweet
323967466340487168,@HopeForBoston,mention
323967466340487168,@HopeForBoston,retweet
323968640783380480,@bostonevolution,mention
323968640783380480,@liamwcvb,mention
323968640783380480,@bostonevolution,retweet
323968640783380480,@liamwcvb,retweet
323968963736399872,@RedCross,mention
323968963736399872,@RedCross,retweet
323969668379463680,@D_hagen,mention
323969668379463680,@D_hagen,retweet
323971094434426880,@ginadee1h,mention
323971941700616192,@dailybeasttv,mention
323971941700616192,@dailybeasttv,retweet
323972273042231297,@Moreno,mention
323972273042231297,@Moreno,retweet
323973124481748994,@RandyMeierFox9,mention
323974798009049088,@TraxFMJKT,mention
323974798009049088,@TraxFMJKT,retweet
323975192273620992,@SchafferBerg,mention
323975192273620992,@SchafferBerg,retweet
323975401997213698,@GhettoChiIdren,mention
323975401997213698,@GhettoChiIdren,retweet
323975561347211264,@HopeForBoston,mention
323975561347211264,@HopeForBoston,retweet
323977440399613952,@SpencerKlimek,mention
323978186989899777,@JoshScobee10,mention
323978186989899777,@JoshScobee10,retweet
323980560957579264,@LoveForBoston,mention
323980560957579264,@LoveForBoston,retweet
323980577739001856,@thewanted,mention
323980577739001856,@thewanted,retweet
323983199199981568,@ItsMelanieAmaro,mention
323983199199981568,@ItsMelanieAmaro,retweet
323985178886291456,@chrislhayes,mention
323985594143367168,@celtics,mention
323985594143367168,@celtics,retweet
323987531915984897,@joshuagates,mention
323987531915984897,@joshuagates,retweet
323988353974411264,@iPrayForBoston,mention
323988353974411264,@iPrayForBoston,retweet
323990266585440256,@ItsSiRobertson,mention
323990266585440256,@ItsSiRobertson,retweet
323991780745965568,@FoxNews,mention
323991780745965568,@FoxNews,retweet
323992044987113472,@LoveForBoston,mention
323992044987113472,@LoveForBoston,retweet
323992212742496256,@Deadspin,mention
323992212742496256,@Deadspin,retweet
323994670613012480,@RealDopePostss_,mention
323994670613012480,@RealDopePostss_,retweet
323997552099876864,@Niallatemytaco,mention
323997552099876864,@Niallatemytaco,retweet
323999783457017856,@miilkkk,mention
323999783457017856,@miilkkk,retweet
324002354590519296,@Sebelius,mention
324002354590519296,@Sebelius,retweet
324006263673458688,@msnNOW,mention
324006263673458688,@msnNOW,retweet
324006355956531200,@HopeForBoston,mention
324008067211608064,@soutik,mention
324008067211608064,@soutik,retweet
324011993096921088,@Soy_Brent,mention
324011993096921088,@Soy_Brent,retweet
324014492885327873,@chrismurphys,mention
324015960912719872,@AngeloGuligado,mention
324015960912719872,@ANCALERTS,mention
324016153859088384,@EbenOfficial,mention
324016153859088384,@EbenOfficial,retweet
324017340826144769,@JackLindstrom94,mention
324017340826144769,@JackLindstrom94,retweet
324029118419189760,@BobbyLeeGarza1,mention
324029118419189760,@BobbyLeeGarza1,retweet
324030670328451072,@CraigyFerg,mention
324032478090244096,@Ch3ls3aT,mention
324032478090244096,@Ch3ls3aT,retweet
324033220482068480,@davie_ferguson,mention
324033220482068480,@davie_ferguson,retweet
324033522438377472,@LiifeSentencess,mention
324033522438377472,@LiifeSentencess,retweet
324035342766321664,@BostonDotCom,mention
324041357402443776,@MiszAliyaDattu,mention
324041357402443776,@MiszAliyaDattu,retweet
324050916221259778,@NiamsNinja,mention
324050916221259778,@NiamsNinja,retweet
324054137450926080,@prayforbst,mention
324054137450926080,@prayforbst,retweet
324055051825979392,@DailyMailUS,mention
324055051825979392,@DailyMailUS,retweet
324072244278083585,@YouTube,mention
324079735279869952,@llama_ajol,mention
324079735279869952,@llama_ajol,retweet
324091047326126080,@HafizSam,mention
324091047326126080,@HafizSam,retweet
324094004323024898,@steveaoki,mention
324094004323024898,@steveaoki,retweet
324105169551912960,@magnodetri,mention
324105169551912960,@magnodetri,retweet
324105719001534465,@garrettgee,mention
